Region	State	LFOct12	LFAug13	LFSept13	LFOct13p	UEOct12	UEAug13	UESept13	UEOct13p	UEROct12	UERAug13	UERSept13	UEROct13p	YearChange	MonthChange
brown	Alabama	2154.8	2149.2	2144.7	2131	153	134.3	136.7	138	7.1	6.2	6.4	6.5	-0.6	0.3
red	Alaska	366.1	363.2	364.2	365	25	23.6	23.5	23.9	6.8	6.5	6.5	6.5	-0.3	0
red	Arizona	3028	3004.3	3003.8	2996.1	245.7	248.2	248.6	245.4	8.1	8.3	8.3	8.2	0.1	-0.1
brown	Arkansas	1348.7	1323.1	1322.2	1321.5	97.4	98.5	98.4	99.8	7.2	7.4	7.4	7.5	0.3	0.1
red	California	18517.6	18580.9	18636.7	18605.9	1861.6	1646.2	1629.7	1611.9	10.1	8.9	8.7	8.7	-1.4	-0.2
red	Colorado	2743.7	2765.1	2760.7	2747.2	212.1	194	191.6	185.5	7.7	7	6.9	6.8	-0.9	-0.2
green	Connecticut	1873.5	1851.7	1854.8	1853.8	157.6	150.2	148.5	147.1	8.4	8.1	8	7.9	-0.5	-0.2
brown	Delaware	445.2	440.1	440.2	439.4	31.6	32.1	30.9	29.8	7.1	7.3	7	6.8	-0.3	-0.5
brown	District of Columbia	367.8	364.7	363.8	362.5	31.8	31.7	31.3	32.3	8.6	8.7	8.6	8.9	0.3	0.2
brown	Florida	9395	9394.1	9405.3	9395.6	769.4	658.3	642.7	625.2	8.2	7	6.8	6.7	-1.5	-0.3
brown	Georgia	4817.2	4796.6	4785.6	4761.1	424.9	416.7	396.9	384.3	8.8	8.7	8.3	8.1	-0.7	-0.6
red	Hawaii	651.1	642.5	645.2	648.3	35.1	27.8	27.6	28.7	5.4	4.3	4.3	4.4	-1	0.1
red	Idaho	773.7	773.1	773.5	772.6	51.4	52.2	52.4	51.4	6.6	6.8	6.8	6.7	0.1	-0.1
blue	Illinois	6603.7	6525.5	6527.1	6519.1	579.1	601.8	592	579.4	8.8	9.2	9.1	8.9	0.1	-0.3
blue	Indiana	3146.2	3155.1	3158.6	3157.1	265.4	256.8	246.1	238	8.4	8.1	7.8	7.5	-0.9	-0.6
blue	Iowa	1630.3	1654.8	1659.1	1659.2	82.6	80.6	78.7	75.9	5.1	4.9	4.7	4.6	-0.5	-0.3
blue	Kansas	1486.9	1487.2	1488.7	1488	82.7	87.7	85.4	82.8	5.6	5.9	5.7	5.6	0	-0.3
brown	Kentucky	2082.8	2078.3	2073.7	2063.8	169.6	174.9	172.6	172.4	8.1	8.4	8.3	8.4	0.3	0
brown	Louisiana	2082.9	2086.1	2091.2	2085.3	123.4	146	142	136.4	5.9	7	6.8	6.5	0.6	-0.5
green	Maine	706.1	709	711.5	709.9	51.1	49.9	49.4	47.3	7.2	7	6.9	6.7	-0.5	-0.3
brown	Maryland	3134.6	3115	3117.3	3113.9	213.2	218.5	210.1	209	6.8	7	6.7	6.7	-0.1	-0.3
green	Massachusetts	3477.1	3491.9	3494.1	3487.6	234.2	252.5	249.1	249.8	6.7	7.2	7.1	7.2	0.5	0
blue	Michigan	4645.9	4727.1	4736.3	4724.6	421.9	424.7	424.6	423.2	9.1	9	9	9	-0.1	0
blue	Minnesota	2971.5	2970.5	2968.9	2964.6	165	152.5	147.8	142.4	5.6	5.1	5	4.8	-0.8	-0.3
brown	Mississippi	1336	1291.3	1290.2	1283.2	121.2	110.2	110.2	109	9.1	8.5	8.5	8.5	-0.6	0
blue	Missouri	2991.1	3010.5	3017.5	3012.5	201.7	216.7	208.1	195.5	6.7	7.2	6.9	6.5	-0.2	-0.7
red	Montana	509.6	507.9	508.4	508.3	29.7	27	26.7	26.7	5.8	5.3	5.3	5.2	-0.6	-0.1
blue	Nebraska	1025.4	1033.8	1032	1027.1	39.7	43.4	42.4	40.3	3.9	4.2	4.1	3.9	0	-0.3
red	Nevada	1372.9	1366.6	1364.1	1362.3	141.7	130	127.7	127.2	10.3	9.5	9.4	9.3	-1	-0.2
green	New Hampshire	743.5	741.8	742.2	741.7	42.2	37.1	36.9	37.8	5.7	5	5	5.1	-0.6	0.1
green	New Jersey	4619.6	4599	4587.4	4562.3	443.1	392	387.5	382.2	9.6	8.5	8.4	8.4	-1.2	-0.1
red	New Mexico	937.1	930.9	924.6	920.7	63.3	63.4	61.6	60.4	6.8	6.8	6.7	6.6	-0.2	-0.2
green	New York	9587.4	9614.2	9641.8	9655	801.8	729.3	734.6	740.3	8.4	7.6	7.6	7.7	-0.7	0.1
brown	North Carolina	4743.3	4684.3	4678.2	4665.9	447.6	409.2	390.3	371.8	9.4	8.7	8.3	8	-1.4	-0.7
blue	North Dakota	394.4	399.6	400.9	401.1	12.6	11.8	11.3	10.8	3.2	3	2.8	2.7	-0.5	-0.3
blue	Ohio	5729.7	5732.6	5733.4	5727.3	396	419.2	424.6	426.9	6.9	7.3	7.4	7.5	0.6	0.2
brown	Oklahoma	1810.9	1807.9	1811.1	1812.7	94.6	95.9	97.6	100.3	5.2	5.3	5.4	5.5	0.3	0.2
red	Oregon	1956.8	1921.3	1922.5	1918.7	166.7	155.1	150.5	147.4	8.5	8.1	7.8	7.7	-0.8	-0.4
green	Pennsylvania	6517.3	6512.4	6502.7	6471.4	524.6	501.2	496	484.8	8	7.7	7.6	7.5	-0.5	-0.2
green	Rhode Island	562.4	552.2	551.4	550.7	56.8	50	50.5	50.4	10.1	9.1	9.2	9.2	-0.9	0.1
brown	South Carolina	2166.1	2161.3	2161	2157	189.6	175.3	170.1	162.6	8.8	8.1	7.9	7.5	-1.3	-0.6
blue	South Dakota	446.1	448.3	449.4	449.4	19.5	16.9	16.8	16.7	4.4	3.8	3.7	3.7	-0.7	-0.1
brown	Tennessee	3116.6	3108	3101.7	3076.1	244	264.4	262	259.9	7.8	8.5	8.4	8.4	0.6	-0.1
brown	Texas	12619.6	12770.8	12793.1	12787.8	810.6	816.6	807.8	796.7	6.4	6.4	6.3	6.2	-0.2	-0.2
red	Utah	1356.7	1403.5	1405.4	1408.5	74.6	65.3	65.5	64.9	5.5	4.7	4.7	4.6	-0.9	-0.1
green	Vermont	356.2	351.8	352.6	351.6	18	16.2	16.3	16	5	4.6	4.6	4.5	-0.5	-0.1
brown	Virginia	4212.6	4216.7	4223.1	4222	242.6	242.5	238	237.8	5.8	5.8	5.6	5.6	-0.2	-0.2
red	Washington	3472.2	3482	3478.7	3470.6	270.9	242.8	241	241.3	7.8	7	6.9	7	-0.8	0
brown	West Virginia	807.3	793.6	794.8	795.4	60.7	49.5	49.4	49.6	7.5	6.2	6.2	6.2	-1.3	0
blue	Wisconsin	3046.5	3071.2	3071.7	3064.7	207.7	205.6	202.4	198.5	6.8	6.7	6.6	6.5	-0.3	-0.2
red	Wyoming	306.1	307.2	306.9	306.6	15.6	14	13.8	14	5.1	4.6	4.5	4.6	-0.5	0
